playername,patch,CurrentSkill,PC1,PC2,PC3,PC4
Scout,16.01,35.051927290265,0.6346326873085311,-0.2854338767879374,-2.495748616783498,-1.2270073144404423
Bdd,15.19,35.01146502141124,1.776655896552409,-2.1246847641290225,-4.415223883297357,1.2460010407102302
Karis,15.16,34.991020382363175,-0.7651565073702493,0.1012400780432875,-0.7936463094604519,0.0842926514117911
VicLa,16.11,34.61253086543765,-1.4566771354763226,1.8979126888727569,-2.0021595748434065,0.8196555656358092
Bdd,16.01,34.47032649866335,-0.5159595636905501,-0.6805171133634894,0.1155881428206111,-1.111271564290076
VicLa,16.08,34.297136542734314,-0.8920342386945778,-0.6617002218438567,-0.2156958944563499,0.5355263707675474
Clozer,16.01,34.29096223784759,-0.2575763154579947,0.9501272716352251,-2.930290527684425,-0.2630100174097828
Calix,16.09,34.17377840664886,-0.9163894615977236,1.305796494299637,-1.029790112024471,-1.750618813081971
Ucal,14.12,33.916602245455095,-1.135315183886893,-1.4670120077005833,1.4549985740640157,-0.0599819004014166
Bdd,15.06,33.81302154549277,-0.9498393760339536,-1.3385907023828805,-0.7326373565820524,2.4584473862178906
ShowMaker,16.08,33.809588614696516,-0.8884852820917173,1.5362830407816186,-1.5853734079544368,-1.6252861106245673
Karis,15.18,33.78758560222044,-2.1538190602330154,0.4224856660336847,1.2444126959352944,0.2032220064086744
kyeahoo,15.09,33.764382310187706,-2.085461248617296,0.1108131967528195,1.4588776342181136,0.1846944194058232
Loki,16.11,33.64582051691295,-1.7431415773029992,1.6947172809265216,0.5540528231439286,-2.499342455812912
kyeahoo,15.14,33.42890405322952,-2.272990312584941,-0.6844903070245295,2.295309611804795,0.7260550307747453
VicLa,15.17,32.914486035627455,-1.021846748577956,-0.4573268728571775,-0.658338644673437,0.4003061251648369
kyeahoo,15.12,32.84247200011798,-2.144733244965433,-1.0618146441213077,2.8794512205067075,-0.3251526118501198
ShowMaker,15.19,32.53524434936512,-1.730913689396071,-0.4651277486368053,0.423880446370476,0.8606385969362601
Quad,15.17,32.488957572372705,-2.2768607595225188,0.7545292564927024,0.3582766473555472,0.5667846694281768
Bdd,15.09,32.28847429537653,-1.6988327233575125,-0.9548961197085222,-1.214935306126747,4.061898333675498
ShowMaker,15.18,32.12617790921611,-0.565966579037448,-2.0333368001145744,0.037014995703995,0.1097633073249703
Bdd,15.17,31.865142842039802,-1.4497392265789393,-0.0475024929123894,-2.044607135223932,2.603969919407924
kyeahoo,15.19,31.519580103594087,-2.0102404994538974,-1.3892939034270444,2.313051717662214,-0.1551589739236967
Callme,16.01,31.40362081999573,-1.2052785660045051,0.9234469480708972,-1.4908337082842202,-1.1578856833924596
Bdd,14.24,31.211705013223295,-1.191985667985296,-2.412067777869151,1.0208706056606214,0.7687009469061429
Bdd,15.05,31.149719775198985,-1.9833046560553569,-1.6474037063741869,1.8570540463554928,0.6995821562025453
Bdd,16.07,31.06400706993122,-2.3673394573409885,1.1313801269980817,-0.6185182673369329,0.7994341967501628
VicLa,16.01,31.046749040075532,-1.661775646912522,0.5736861550271836,-0.3501537110261088,-1.0086755265333252
