playername,teamname,position,patch,patch_major,patch_minor,match_count,low_sample_flag,pca_group,PC1,PC2,PC3,PC4,PC5,PC6
Croco,HANJIN BRION,jng,15.01,15,1,10,0,jng,1.3182349491544194,0.14745915894141476,0.3034728991174333,-0.4807331437404063,-0.24285867609820033,-0.03814568167695115
Cuzz,KT Rolster,jng,15.01,15,1,24,0,jng,0.971610359667861,0.9048008950039123,-0.1797873800381111,-0.27307461661575155,-0.06900756778746657,-0.09991342748572611
GIDEON,Nongshim RedForce,jng,15.01,15,1,20,0,jng,-1.4309084461736468,-0.1201913717748297,-0.552259959134372,0.15405330035813541,0.016925088323575994,-0.1407386325172227
HamBak,HANJIN BRION,jng,15.01,15,1,9,0,jng,-0.34881427199827214,0.4158040587922094,0.8067051463025027,-0.00976799635984396,-0.4861194032087546,-0.14587982980136463
Lucid,Dplus Kia,jng,15.01,15,1,25,0,jng,1.7429223710142467,1.3500356547158059,-0.07560120974045645,-0.4653027305508975,-0.10897499984537193,-0.0407312324570422
Oner,T1,jng,15.01,15,1,18,0,jng,1.1569364940555353,0.681176607352181,0.06199391348061577,0.04438067109946095,-0.033728557092900194,-0.04790414953322241
Peanut,Hanwha Life Esports,jng,15.01,15,1,19,0,jng,-0.9509392026816188,-0.3436116902388625,0.07555787495365376,0.057948540613048216,-0.2987649807834545,-0.09192563102138025
Pyosik,DN SOOPers,jng,15.01,15,1,20,0,jng,-2.1369462173556606,-1.0390800559238709,-0.07272781051891913,0.11562827590987033,-0.08086913492749626,-0.10123223466614552
Raptor,BNK FEARX,jng,15.01,15,1,21,0,jng,-2.4270245924897456,-0.9386608638688945,-0.10987104782993506,0.1865621377424117,0.04633824423042983,-0.11953005544492468
Sponge,DRX,jng,15.01,15,1,20,0,jng,0.6696069591518381,0.05280272015984873,0.12436433911658755,-0.43566287714555885,-0.09454065458863804,-0.06341320557843416
Canyon,Gen.G,jng,15.02,15,2,3,0,jng,-0.6813170923752374,-1.2733444527183686,-0.39835882412579243,1.76022659630798,-0.2956117896140037,0.27663341902817545
Cuzz,KT Rolster,jng,15.02,15,2,3,0,jng,2.2577719958047067,1.6725952840570537,-0.9928951231482618,-0.4841514756243101,-0.7225182384072616,0.0924636380246418
GIDEON,Nongshim RedForce,jng,15.02,15,2,10,0,jng,2.201943063048902,1.5619467841846268,-0.2618139747490815,-0.4225698325925442,0.3017926033964642,0.09843731342218723
HamBak,HANJIN BRION,jng,15.02,15,2,5,0,jng,-3.810390720038544,-1.415338565385244,0.6879659371407877,-0.036058515375685246,-0.2360455388006829,-0.06611854460556385
Lucid,Dplus Kia,jng,15.02,15,2,3,0,jng,0.6324570766884559,0.8125966215710003,-1.6246409672380036,0.0824795011560563,0.10320106744872004,0.020771622426178818
Oner,T1,jng,15.02,15,2,5,0,jng,2.2686169564727656,0.42944883238770115,1.0967546153956773,-0.30700764502020994,0.09660617323596976,0.3358913232085571
Peanut,Hanwha Life Esports,jng,15.02,15,2,4,0,jng,0.5928568660583153,0.0911686158010474,1.4704629464028292,0.7583075846805849,0.5780700486990517,-0.3062816452774816
Pyosik,DN SOOPers,jng,15.02,15,2,5,0,jng,-1.9434552289360487,-1.3613699552244154,-0.5104511699257365,0.3666237924830376,-0.5973916006727588,-0.034377267452736546
Sponge,DRX,jng,15.02,15,2,10,0,jng,-1.2539302333925268,-0.7762737331194494,0.13533697259186672,-0.24418520453762646,0.6307605663638852,0.028496001632286508
Canyon,Gen.G,jng,15.03,15,3,18,0,jng,-0.5448251945435899,-0.07390548462940172,0.09117232048735036,-0.09979190146026959,-0.37716745697109766,-0.016479065281609168
Cuzz,KT Rolster,jng,15.03,15,3,3,0,jng,-1.068635097912888,0.21177257526591256,-0.17084066123035563,0.41557071778843996,-0.6054365447452689,-0.31296273938423264
GIDEON,Nongshim RedForce,jng,15.03,15,3,12,0,jng,1.163158329309513,0.6581478490713135,-0.6946852811019399,0.050870134305235515,-0.23723090501347863,-0.09456854439299127
Lucid,Dplus Kia,jng,15.03,15,3,12,0,jng,1.4407630921692478,0.31981303939306804,-0.453571506986977,-0.30645830820867764,-0.17638123550746213,-0.04867888288478237
Oner,T1,jng,15.03,15,3,5,0,jng,0.28022335730445713,0.30831713160384067,0.48137817319926374,0.06922201496847553,-0.2936950546315209,-0.048561673618877255
Peanut,Hanwha Life Esports,jng,15.03,15,3,20,0,jng,-1.2159578093409162,-0.2806656032071691,-0.12583584238656492,-0.2906625677419892,-0.17012043220020517,-0.03412008577487975
Canyon,Gen.G,jng,15.06,15,6,5,0,jng,1.9624362516658034,-0.7004661719478613,-1.2275251009881336,-0.24277387029615505,-0.6303043076660384,0.16176075659377853
Cuzz,KT Rolster,jng,15.06,15,6,5,0,jng,-0.7091261022767613,0.3218110999514231,-0.5745894931894238,0.33364810526195665,-0.4276498904480218,-0.2808545485701963
